price|quantity|type|timestamp
4623000|4.0068|0|2024-04-27 17:40:20.068
4620000|1.4435|0|2024-04-27 17:40:20.068
4619000|1|0|2024-04-27 17:40:20.068
4618000|2.138|0|2024-04-27 17:40:20.068
4617000|1|0|2024-04-27 17:40:20.068
4627000|0.7375|1|2024-04-27 17:40:20.068
4628000|15.005|1|2024-04-27 17:40:20.068
4629000|3.0625|1|2024-04-27 17:40:20.068
4630000|4|1|2024-04-27 17:40:20.068
4631000|8.7125|1|2024-04-27 17:40:20.068
4630000|2.8738|0|2024-04-27 17:40:25.301
4629000|0.1972|0|2024-04-27 17:40:25.301
4625000|1.2444|0|2024-04-27 17:40:25.301
4624000|1.451|0|2024-04-27 17:40:25.301
4623000|5.0068|0|2024-04-27 17:40:25.301
4631000|4.1937|1|2024-04-27 17:40:25.301
4632000|2.5|1|2024-04-27 17:40:25.301
4633000|18.6928|1|2024-04-27 17:40:25.301
4634000|1.0066|1|2024-04-27 17:40:25.301
4635000|4.4461|1|2024-04-27 17:40:25.301
4630000|0.3218|0|2024-04-27 17:40:30.532
4629000|0.1|0|2024-04-27 17:40:30.532
4628000|2.7009|0|2024-04-27 17:40:30.532
4625000|1.2444|0|2024-04-27 17:40:30.532
4624000|1.337|0|2024-04-27 17:40:30.532
4631000|4.1987|1|2024-04-27 17:40:30.532
4632000|2.5|1|2024-04-27 17:40:30.532
4633000|15.6928|1|2024-04-27 17:40:30.532
4634000|4.0066|1|2024-04-27 17:40:30.532
4635000|4.4461|1|2024-04-27 17:40:30.532
4624000|2.6831|0|2024-04-27 17:40:35.780
4623000|0.1171|0|2024-04-27 17:40:35.780
4622000|3|0|2024-04-27 17:40:35.780
4621000|1|0|2024-04-27 17:40:35.780
4620000|2.3221|0|2024-04-27 17:40:35.780
4630000|7.7853|1|2024-04-27 17:40:35.780
4631000|19.0371|1|2024-04-27 17:40:35.780
4632000|6.931|1|2024-04-27 17:40:35.780
4633000|4.6928|1|2024-04-27 17:40:35.780
4634000|4.4381|1|2024-04-27 17:40:35.780
4622000|2.6844|0|2024-04-27 17:40:41.019
4621000|3.1171|0|2024-04-27 17:40:41.019
4620000|3.436|0|2024-04-27 17:40:41.019
4619000|4|0|2024-04-27 17:40:41.019
4618000|2.1366|0|2024-04-27 17:40:41.019
4629000|5.0088|1|2024-04-27 17:40:41.019
4630000|19.7205|1|2024-04-27 17:40:41.019
4631000|8.0485|1|2024-04-27 17:40:41.019
4632000|94.9042|1|2024-04-27 17:40:41.019
4633000|5.1368|1|2024-04-27 17:40:41.019
4622000|2.3652|0|2024-04-27 17:40:46.253
4620000|2.6633|0|2024-04-27 17:40:46.253
4619000|3|0|2024-04-27 17:40:46.253
4618000|3.7037|0|2024-04-27 17:40:46.253
4617000|1.4388|0|2024-04-27 17:40:46.253
4627000|3|1|2024-04-27 17:40:46.253
4628000|19.3114|1|2024-04-27 17:40:46.253
4629000|1.003|1|2024-04-27 17:40:46.253
4630000|4.7205|1|2024-04-27 17:40:46.253
4631000|5.4696|1|2024-04-27 17:40:46.253
4622000|1.6593|0|2024-04-27 17:40:51.493
4619000|1.7017|0|2024-04-27 17:40:51.493
4618000|6.2804|0|2024-04-27 17:40:51.493
4617000|3|0|2024-04-27 17:40:51.493
4616000|3.4881|0|2024-04-27 17:40:51.493
4626000|3.3115|1|2024-04-27 17:40:51.493
4627000|107.4022|1|2024-04-27 17:40:51.493
4628000|4|1|2024-04-27 17:40:51.493
4629000|1.003|1|2024-04-27 17:40:51.493
4630000|0.4482|1|2024-04-27 17:40:51.493
4622000|1.6571|0|2024-04-27 17:40:56.716
4618000|3.2804|0|2024-04-27 17:40:56.716
4617000|4.6947|0|2024-04-27 17:40:56.716
4616000|3.4881|0|2024-04-27 17:40:56.716
4615000|4.4267|0|2024-04-27 17:40:56.716
4625000|3.3115|1|2024-04-27 17:40:56.716
4626000|20.6498|1|2024-04-27 17:40:56.716
4627000|4.003|1|2024-04-27 17:40:56.716
4628000|4.002|1|2024-04-27 17:40:56.716
4629000|92.4057|1|2024-04-27 17:40:56.716
4623000|2.5633|0|2024-04-27 17:41:01.961
4622000|7.0122|0|2024-04-27 17:41:01.961
4621000|3|0|2024-04-27 17:41:01.961
4620000|4.419|0|2024-04-27 17:41:01.961
4619000|4|0|2024-04-27 17:41:01.961
4627000|0.003|1|2024-04-27 17:41:01.961
4628000|0.002|1|2024-04-27 17:41:01.961
4629000|0.0065|1|2024-04-27 17:41:01.961
4630000|3.002|1|2024-04-27 17:41:01.961
4631000|111.4477|1|2024-04-27 17:41:01.961
4627000|3|0|2024-04-27 17:41:07.200
4626000|1.6947|0|2024-04-27 17:41:07.200
4625000|3.555|0|2024-04-27 17:41:07.200
4624000|4|0|2024-04-27 17:41:07.200
4623000|4.4472|0|2024-04-27 17:41:07.200
4629000|0.0065|1|2024-04-27 17:41:07.200
4630000|0.002|1|2024-04-27 17:41:07.200
4631000|4.0485|1|2024-04-27 17:41:07.200
4632000|2.505|1|2024-04-27 17:41:07.200
4633000|0.0043|1|2024-04-27 17:41:07.200
4629000|3|0|2024-04-27 17:41:12.420
4628000|3|0|2024-04-27 17:41:12.420
4627000|5.6947|0|2024-04-27 17:41:12.420
4626000|1.1151|0|2024-04-27 17:41:12.420
4625000|4.4399|0|2024-04-27 17:41:12.420
4631000|1.7298|1|2024-04-27 17:41:12.420
4632000|2.505|1|2024-04-27 17:41:12.420
4633000|0.0043|1|2024-04-27 17:41:12.420
4634000|0.0096|1|2024-04-27 17:41:12.420
4635000|0.01|1|2024-04-27 17:41:12.420
4636000|0.1619|0|2024-04-27 17:41:17.652
4634000|3.0972|0|2024-04-27 17:41:17.652
4633000|3|0|2024-04-27 17:41:17.652
4632000|1.0421|0|2024-04-27 17:41:17.652
4631000|1.4207|0|2024-04-27 17:41:17.652
4638000|0.0255|1|2024-04-27 17:41:17.652
4639000|0.061|1|2024-04-27 17:41:17.652
4640000|0.6941|1|2024-04-27 17:41:17.652
