price|quantity|type|timestamp
91400000|0.3406|0|2024-04-26 15:25:04.068
91399000|0.0404|0|2024-04-26 15:25:04.068
91397000|0.0011|0|2024-04-26 15:25:04.068
91393000|0.0003|0|2024-04-26 15:25:04.068
91391000|0.0022|0|2024-04-26 15:25:04.068
91481000|0.1229|1|2024-04-26 15:25:04.068
91482000|0.0597|1|2024-04-26 15:25:04.068
91499000|0.0537|1|2024-04-26 15:25:04.068
91500000|0.5298|1|2024-04-26 15:25:04.068
91501000|0.0002|1|2024-04-26 15:25:04.068
91399000|0.0404|0|2024-04-26 15:25:09.362
91397000|0.0011|0|2024-04-26 15:25:09.362
91393000|0.0003|0|2024-04-26 15:25:09.362
91391000|0.0024|0|2024-04-26 15:25:09.362
91390000|0.0075|0|2024-04-26 15:25:09.362
91450000|0.0122|1|2024-04-26 15:25:09.362
91466000|0.0937|1|2024-04-26 15:25:09.362
91488000|0.0549|1|2024-04-26 15:25:09.362
91490000|0.0008|1|2024-04-26 15:25:09.362
91499000|0.0537|1|2024-04-26 15:25:09.362
91404000|1.8919|0|2024-04-26 15:25:14.632
91399000|0.0404|0|2024-04-26 15:25:14.632
91398000|0.0539|0|2024-04-26 15:25:14.632
91397000|0.0016|0|2024-04-26 15:25:14.632
91396000|0.0873|0|2024-04-26 15:25:14.632
91450000|0.2122|1|2024-04-26 15:25:14.632
91490000|0.0008|1|2024-04-26 15:25:14.632
91499000|0.0537|1|2024-04-26 15:25:14.632
91500000|0.3558|1|2024-04-26 15:25:14.632
91501000|0.0002|1|2024-04-26 15:25:14.632
91451000|0.0471|0|2024-04-26 15:25:20.270
91450000|2.2285|0|2024-04-26 15:25:20.270
91444000|0.0293|0|2024-04-26 15:25:20.270
91443000|0.0273|0|2024-04-26 15:25:20.270
91442000|0.0394|0|2024-04-26 15:25:20.270
91490000|0.0008|1|2024-04-26 15:25:20.270
91500000|0.3558|1|2024-04-26 15:25:20.270
91501000|0.0002|1|2024-04-26 15:25:20.270
91518000|0.0002|1|2024-04-26 15:25:20.270
91520000|0.0001|1|2024-04-26 15:25:20.270
91451000|0.0125|0|2024-04-26 15:25:25.533
91450000|1.8352|0|2024-04-26 15:25:25.533
91439000|0.0397|0|2024-04-26 15:25:25.533
91438000|0.1534|0|2024-04-26 15:25:25.533
91437000|0.0364|0|2024-04-26 15:25:25.533
91490000|0.0008|1|2024-04-26 15:25:25.533
91500000|0.3558|1|2024-04-26 15:25:25.533
91501000|0.0002|1|2024-04-26 15:25:25.533
91518000|0.0002|1|2024-04-26 15:25:25.533
91520000|0.0001|1|2024-04-26 15:25:25.533
91459000|1.8|0|2024-04-26 15:25:30.757
91450000|0.1077|0|2024-04-26 15:25:30.757
91449000|0.056|0|2024-04-26 15:25:30.757
91448000|0.0366|0|2024-04-26 15:25:30.757
91447000|0.1024|0|2024-04-26 15:25:30.757
91490000|0.0008|1|2024-04-26 15:25:30.757
91494000|0.1091|1|2024-04-26 15:25:30.757
91500000|0.3558|1|2024-04-26 15:25:30.757
91501000|0.0002|1|2024-04-26 15:25:30.757
91502000|0.0001|1|2024-04-26 15:25:30.757
91430000|0.0349|0|2024-04-26 15:25:36.147
91416000|0.024|0|2024-04-26 15:25:36.147
91415000|0.0853|0|2024-04-26 15:25:36.147
91414000|0.0275|0|2024-04-26 15:25:36.147
91413000|0.1293|0|2024-04-26 15:25:36.147
91474000|0.0551|1|2024-04-26 15:25:36.147
91475000|0.0002|1|2024-04-26 15:25:36.147
91490000|0.0008|1|2024-04-26 15:25:36.147
91500000|0.3558|1|2024-04-26 15:25:36.147
91501000|0.0002|1|2024-04-26 15:25:36.147
91450000|0.0008|0|2024-04-26 15:25:41.399
91449000|0.5474|0|2024-04-26 15:25:41.399
91430000|0.0349|0|2024-04-26 15:25:41.399
91420000|0.0766|0|2024-04-26 15:25:41.399
91417000|0.014|0|2024-04-26 15:25:41.399
91463000|0.0232|1|2024-04-26 15:25:41.399
91464000|0.0002|1|2024-04-26 15:25:41.399
91470000|0.0001|1|2024-04-26 15:25:41.399
91490000|0.0008|1|2024-04-26 15:25:41.399
91499000|0.1334|1|2024-04-26 15:25:41.399
91449000|0.5439|0|2024-04-26 15:25:46.641
91430000|0.0349|0|2024-04-26 15:25:46.641
91420000|0.014|0|2024-04-26 15:25:46.641
91417000|0.014|0|2024-04-26 15:25:46.641
91416000|0.0248|0|2024-04-26 15:25:46.641
91461000|0.0001|1|2024-04-26 15:25:46.641
91464000|0.0002|1|2024-04-26 15:25:46.641
91469000|0.0115|1|2024-04-26 15:25:46.641
91490000|0.0008|1|2024-04-26 15:25:46.641
91493000|0.133|1|2024-04-26 15:25:46.641
91449000|0.2237|0|2024-04-26 15:25:51.889
91430000|0.0349|0|2024-04-26 15:25:51.889
91417000|0.014|0|2024-04-26 15:25:51.889
91416000|0.0248|0|2024-04-26 15:25:51.889
91415000|0.014|0|2024-04-26 15:25:51.889
91460000|0.0193|1|2024-04-26 15:25:51.889
91467000|0.0001|1|2024-04-26 15:25:51.889
91469000|0.0115|1|2024-04-26 15:25:51.889
91490000|0.0008|1|2024-04-26 15:25:51.889
91494000|0.1356|1|2024-04-26 15:25:51.889
91449000|0.2114|0|2024-04-26 15:25:57.123
91430000|0.0349|0|2024-04-26 15:25:57.123
91417000|0.014|0|2024-04-26 15:25:57.123
91416000|0.201|0|2024-04-26 15:25:57.123
91415000|0.0415|0|2024-04-26 15:25:57.123
91469000|0.0019|1|2024-04-26 15:25:57.123
91475000|0.0191|1|2024-04-26 15:25:57.123
91476000|0.0002|1|2024-04-26 15:25:57.123
91482000|0.0001|1|2024-04-26 15:25:57.123
91490000|0.0008|1|2024-04-26 15:25:57.123
91449000|0.0394|0|2024-04-26 15:26:08.951
91430000|0.0349|0|2024-04-26 15:26:08.951
91417000|0.015|0|2024-04-26 15:26:08.951
91416000|0.0248|0|2024-04-26 15:26:08.951
91415000|0.014|0|2024-04-26 15:26:08.951
91452000|0.0002|1|2024-04-26 15:26:08.951
91464000|0.1681|1|2024-04-26 15:26:08.951
91469000|0.0008|1|2024-04-26 15:26:08.951
91471000|0.0642|1|2024-04-26 15:26:08.951
91472000|0.0065|1|2024-04-26 15:26:08.951
91377000|0.1981|0|2024-04-26 15:26:14.196
91376000|0.0901|0|2024-04-26 15:26:14.196
91375000|0.0101|0|2024-04-26 15:26:14.196
91372000|0.001|0|2024-04-26 15:26:14.196
91370000|0.003|0|2024-04-26 15:26:14.196
91400000|0.0234|1|2024-04-26 15:26:14.196
91407000|0.094|1|2024-04-26 15:26:14.196
91408000|0.0557|1|2024-04-26 15:26:14.196
91415000|0.0008|1|2024-04-26 15:26:14.196
91421000|0.0652|1|2024-04-26 15:26:14.196
91377000|0.0247|0|2024-04-26 15:26:19.452
91376000|0.0901|0|2024-04-26 15:26:19.452
91375000|0.0101|0|2024-04-26 15:26:19.452
91372000|0.001|0|2024-04-26 15:26:19.452
91370000|0.003|0|2024-04-26 15:26:19.452
91398000|0.063|1|2024-04-26 15:26:19.452
91407000|0.1106|1|2024-04-26 15:26:19.452
91408000|0.0559|1|2024-04-26 15:26:19.452
91421000|0.0652|1|2024-04-26 15:26:19.452
91436000|0.0608|1|2024-04-26 15:26:19.452
91376000|0.1024|0|2024-04-26 15:26:24.697
91375000|0.0101|0|2024-04-26 15:26:24.697
91372000|0.001|0|2024-04-26 15:26:24.697
91370000|0.003|0|2024-04-26 15:26:24.697
91361000|0.0001|0|2024-04-26 15:26:24.697
91377000|0.4486|1|2024-04-26 15:26:24.697
91396000|0.0255|1|2024-04-26 15:26:24.697
91408000|0.0002|1|2024-04-26 15:26:24.697
91418000|0.058|1|2024-04-26 15:26:24.697
91421000|0.0002|1|2024-04-26 15:26:24.697
91376000|0.0206|0|2024-04-26 15:26:29.985
91375000|0.0101|0|2024-04-26 15:26:29.985
91372000|0.001|0|2024-04-26 15:26:29.985
91370000|0.003|0|2024-04-26 15:26:29.985
91361000|0.0001|0|2024-04-26 15:26:29.985
91377000|0.3848|1|2024-04-26 15:26:29.985
91396000|0.0255|1|2024-04-26 15:26:29.985
91408000|0.0002|1|2024-04-26 15:26:29.985
91421000|0.0002|1|2024-04-26 15:26:29.985
91436000|0.0608|1|2024-04-26 15:26:29.985
91376000|0.0926|0|2024-04-26 15:26:35.284
91375000|0.0101|0|2024-04-26 15:26:35.284
91372000|0.001|0|2024-04-26 15:26:35.284
91370000|0.003|0|2024-04-26 15:26:35.284
91364000|0.0642|0|2024-04-26 15:26:35.284
91396000|0.0114|1|2024-04-26 15:26:35.284
91408000|0.0002|1|2024-04-26 15:26:35.284
91421000|0.0002|1|2024-04-26 15:26:35.284
91469000|0.0008|1|2024-04-26 15:26:35.284
91476000|0.0595|1|2024-04-26 15:26:35.284
91402000|0.0745|0|2024-04-26 15:26:40.531
91401000|0.0533|0|2024-04-26 15:26:40.531
91400000|0.009|0|2024-04-26 15:26:40.531
91398000|1.8|0|2024-04-26 15:26:40.531
91396000|0.9003|0|2024-04-26 15:26:40.531
91469000|0.0008|1|2024-04-26 15:26:40.531
91481000|0.1092|1|2024-04-26 15:26:40.531
91490000|0.0008|1|2024-04-26 15:26:40.531
91500000|0.3558|1|2024-04-26 15:26:40.531
91501000|0.0002|1|2024-04-26 15:26:40.531
91403000|0.0054|0|2024-04-26 15:26:45.766
91398000|0.0002|0|2024-04-26 15:26:45.766
91396000|0.011|0|2024-04-26 15:26:45.766
91377000|0.9002|0|2024-04-26 15:26:45.766
91376000|0.0254|0|2024-04-26 15:26:45.766
91466000|0.1254|1|2024-04-26 15:26:45.766
91467000|0.1092|1|2024-04-26 15:26:45.766
91468000|0.0351|1|2024-04-26 15:26:45.766
91478000|0.0513|1|2024-04-26 15:26:45.766
91480000|0.0544|1|2024-04-26 15:26:45.766
91399000|0.1111|0|2024-04-26 15:26:51.008
91398000|0.0002|0|2024-04-26 15:26:51.008
91396000|0.011|0|2024-04-26 15:26:51.008
91376000|0.0254|0|2024-04-26 15:26:51.008
91375000|0.0101|0|2024-04-26 15:26:51.008
91461000|0.1092|1|2024-04-26 15:26:51.008
91462000|0.1254|1|2024-04-26 15:26:51.008
91464000|0.0989|1|2024-04-26 15:26:51.008
91468000|0.0351|1|2024-04-26 15:26:51.008
91469000|0.0405|1|2024-04-26 15:26:51.008
91404000|0.0131|0|2024-04-26 15:26:56.250
91403000|0|0|2024-04-26 15:26:56.250
91399000|0.1111|0|2024-04-26 15:26:56.250
91398000|0.0002|0|2024-04-26 15:26:56.250
91396000|0.011|0|2024-04-26 15:26:56.250
91459000|0.0997|1|2024-04-26 15:26:56.250
91460000|0.063|1|2024-04-26 15:26:56.250
