price|quantity|type|timestamp
4612000|5.89731405|1|2024-04-27 17:39:35
4613000|1.08822893|1|2024-04-27 17:39:35
4614000|1.67904628|1|2024-04-27 17:39:35
4615000|1.07078859|1|2024-04-27 17:39:35
4616000|1.50817341|1|2024-04-27 17:39:35
4610000|1.93380269|0|2024-04-27 17:39:35
4609000|0.007|0|2024-04-27 17:39:35
4608000|3.47525912|0|2024-04-27 17:39:35
4607000|5.81267484|0|2024-04-27 17:39:35
4605000|1.32570394|0|2024-04-27 17:39:35
4614000|1.65784432|1|2024-04-27 17:39:41
4615000|1.07078859|1|2024-04-27 17:39:41
4616000|1.57353281|1|2024-04-27 17:39:41
4617000|3.126104|1|2024-04-27 17:39:41
4618000|2.41388277|1|2024-04-27 17:39:41
4613000|2.39205867|0|2024-04-27 17:39:41
4610000|2.06386259|0|2024-04-27 17:39:41
4609000|1.2936|0|2024-04-27 17:39:41
4608000|1.38679189|0|2024-04-27 17:39:41
4607000|1.39331886|0|2024-04-27 17:39:41
4614000|1.4700611|1|2024-04-27 17:39:47
4615000|1.07078859|1|2024-04-27 17:39:47
4616000|1.57683281|1|2024-04-27 17:39:47
4617000|3.200104|1|2024-04-27 17:39:47
4618000|2.41388277|1|2024-04-27 17:39:47
4612000|2.91671913|0|2024-04-27 17:39:47
4610000|0.10845986|0|2024-04-27 17:39:47
4609000|0.0336178|0|2024-04-27 17:39:47
4608000|2.66309189|0|2024-04-27 17:39:47
4607000|2.57246874|0|2024-04-27 17:39:47
4614000|1.246|1|2024-04-27 17:39:54
4615000|1.05128697|1|2024-04-27 17:39:54
4616000|2.86647341|1|2024-04-27 17:39:54
4617000|2.8891862|1|2024-04-27 17:39:54
4618000|2.13124217|1|2024-04-27 17:39:54
4612000|3.8883425|0|2024-04-27 17:39:54
4610000|0.10845986|0|2024-04-27 17:39:54
4609000|2.6285633|0|2024-04-27 17:39:54
4608000|1.322|0|2024-04-27 17:39:54
4607000|1.25114988|0|2024-04-27 17:39:54
4615000|2.13082535|1|2024-04-27 17:40:00
4616000|1.94969295|1|2024-04-27 17:40:00
4617000|2.8891862|1|2024-04-27 17:40:00
4618000|3.83955997|1|2024-04-27 17:40:00
4619000|5.45502948|1|2024-04-27 17:40:00
4614000|6.00716761|0|2024-04-27 17:40:00
4613000|0.35163538|0|2024-04-27 17:40:00
4612000|3.8393425|0|2024-04-27 17:40:00
4610000|1.37865986|0|2024-04-27 17:40:00
4609000|2.7408543|0|2024-04-27 17:40:00
4635000|0.00441209|1|2024-04-27 17:40:06
4636000|8.79036305|1|2024-04-27 17:40:06
4637000|0.05582286|1|2024-04-27 17:40:06
4638000|1.97957325|1|2024-04-27 17:40:06
4639000|0.51571849|1|2024-04-27 17:40:06
4632000|0.56786298|0|2024-04-27 17:40:06
4629000|1.50541548|0|2024-04-27 17:40:06
4628000|0.074|0|2024-04-27 17:40:06
4625000|0.007563|0|2024-04-27 17:40:06
4623000|0.148|0|2024-04-27 17:40:06
4631000|3.7e-07|1|2024-04-27 17:40:12
4635000|2.6026|1|2024-04-27 17:40:12
4636000|8.79036305|1|2024-04-27 17:40:12
4637000|2.12244906|1|2024-04-27 17:40:12
4638000|2.24661897|1|2024-04-27 17:40:12
4630000|0.2161031|0|2024-04-27 17:40:12
4628000|2.54957206|0|2024-04-27 17:40:12
4626000|1.224|0|2024-04-27 17:40:12
4625000|0.050784|0|2024-04-27 17:40:12
4623000|0.148|0|2024-04-27 17:40:12
4634000|1.47|1|2024-04-27 17:40:18
4635000|1.3183|1|2024-04-27 17:40:18
4636000|9.68521709|1|2024-04-27 17:40:18
4637000|0.05582286|1|2024-04-27 17:40:18
4638000|1.91557325|1|2024-04-27 17:40:18
4631000|0.08101304|0|2024-04-27 17:40:18
4630000|1.66988103|0|2024-04-27 17:40:18
4628000|1.46602599|0|2024-04-27 17:40:18
4627000|1.1045|0|2024-04-27 17:40:18
4626000|1.3|0|2024-04-27 17:40:18
4634000|1.87809155|1|2024-04-27 17:40:24
4636000|8.55521709|1|2024-04-27 17:40:24
4637000|0.05582286|1|2024-04-27 17:40:24
4638000|1.91557325|1|2024-04-27 17:40:24
4639000|0.60771849|1|2024-04-27 17:40:24
4632000|1.55204674|0|2024-04-27 17:40:24
4631000|1.13791745|0|2024-04-27 17:40:24
4630000|1.63981378|0|2024-04-27 17:40:24
4629000|1.0133|0|2024-04-27 17:40:24
4628000|2.44357206|0|2024-04-27 17:40:24
4634000|1.81309155|1|2024-04-27 17:40:30
4636000|8.55521709|1|2024-04-27 17:40:30
4637000|0.05582286|1|2024-04-27 17:40:30
4638000|1.91557325|1|2024-04-27 17:40:30
4639000|0.90471849|1|2024-04-27 17:40:30
4632000|3.07969529|0|2024-04-27 17:40:30
4631000|1.13791745|0|2024-04-27 17:40:30
4630000|2.92981378|0|2024-04-27 17:40:30
4629000|1.0129|0|2024-04-27 17:40:30
4628000|2.44357206|0|2024-04-27 17:40:30
4633000|0.19318964|1|2024-04-27 17:40:36
4634000|3.1159323|1|2024-04-27 17:40:36
4635000|1.3299|1|2024-04-27 17:40:36
4636000|13.09528508|1|2024-04-27 17:40:36
4637000|0.05582286|1|2024-04-27 17:40:36
4632000|3.47219873|0|2024-04-27 17:40:36
4631000|1.13791745|0|2024-04-27 17:40:36
4630000|1.63981378|0|2024-04-27 17:40:36
4628000|2.37157206|0|2024-04-27 17:40:36
4627000|1.0089|0|2024-04-27 17:40:36
4631000|0.12419875|1|2024-04-27 17:40:42
4632000|1.31|1|2024-04-27 17:40:42
4633000|1.3179|1|2024-04-27 17:40:42
4634000|4.6239323|1|2024-04-27 17:40:42
4635000|1.44944882|1|2024-04-27 17:40:42
4628000|2.66387678|0|2024-04-27 17:40:42
4626000|1.232|0|2024-04-27 17:40:42
4625000|2.31300036|0|2024-04-27 17:40:42
4624000|1.308|0|2024-04-27 17:40:42
4622000|3.835|0|2024-04-27 17:40:42
4628000|1.82440574|1|2024-04-27 17:40:48
4630000|1.2959|1|2024-04-27 17:40:48
4631000|0.98631436|1|2024-04-27 17:40:48
4632000|3.93162004|1|2024-04-27 17:40:48
4633000|0.317|1|2024-04-27 17:40:48
4625000|1.288784|0|2024-04-27 17:40:48
4624000|1.24617387|0|2024-04-27 17:40:48
4623000|1.3298|0|2024-04-27 17:40:48
4622000|1.138|0|2024-04-27 17:40:48
4619000|1.03952668|0|2024-04-27 17:40:48
4630000|1.03671706|1|2024-04-27 17:40:54
4631000|0.98631436|1|2024-04-27 17:40:54
4632000|2.44842004|1|2024-04-27 17:40:54
4633000|2.645|1|2024-04-27 17:40:54
4634000|6.19113663|1|2024-04-27 17:40:54
4628000|0.4153935|0|2024-04-27 17:40:54
4627000|0.43224551|0|2024-04-27 17:40:54
4625000|1.238684|0|2024-04-27 17:40:54
4624000|1.24617387|0|2024-04-27 17:40:54
4623000|1.3267|0|2024-04-27 17:40:54
4630000|0.00086394|1|2024-04-27 17:41:00
4634000|0.00647389|1|2024-04-27 17:41:00
4635000|0.897|1|2024-04-27 17:41:00
4636000|16.11128508|1|2024-04-27 17:41:00
4637000|0.91564548|1|2024-04-27 17:41:00
4628000|1.338|0|2024-04-27 17:41:00
4627000|2.68803859|0|2024-04-27 17:41:00
4626000|1.0|0|2024-04-27 17:41:00
4625000|1.238684|0|2024-04-27 17:41:00
4623000|1.0|0|2024-04-27 17:41:00
4636000|11.18574388|1|2024-04-27 17:41:06
4637000|0.05582286|1|2024-04-27 17:41:06
4638000|0.62757325|1|2024-04-27 17:41:06
4639000|0.51571849|1|2024-04-27 17:41:06
4640000|3.37498521|1|2024-04-27 17:41:06
4634000|1.216|0|2024-04-27 17:41:06
4633000|1.2988|0|2024-04-27 17:41:06
4632000|1.334|0|2024-04-27 17:41:06
4630000|5.454|0|2024-04-27 17:41:06
4629000|3.90172952|0|2024-04-27 17:41:06
4637000|0.05582286|1|2024-04-27 17:41:12
4638000|0.62757325|1|2024-04-27 17:41:12
4639000|0.51571849|1|2024-04-27 17:41:12
4640000|3.35498521|1|2024-04-27 17:41:12
4641000|0.04242453|1|2024-04-27 17:41:12
4636000|1.298|0|2024-04-27 17:41:12
4634000|5.439|0|2024-04-27 17:41:12
4632000|1.334|0|2024-04-27 17:41:12
4630000|1.304|0|2024-04-27 17:41:12
4629000|0.074|0|2024-04-27 17:41:12
4642000|0.05822603|1|2024-04-27 17:41:18
4643000|1.22987931|1|2024-04-27 17:41:18
4644000|4.27312316|1|2024-04-27 17:41:18
4645000|8.3745783|1|2024-04-27 17:41:18
4646000|0.29046929|1|2024-04-27 17:41:18
4640000|21.24926992|0|2024-04-27 17:41:18
4638000|2.86753073|0|2024-04-27 17:41:18
4637000|2.17030523|0|2024-04-27 17:41:18
4636000|0.69761277|0|2024-04-27 17:41:18
4634000|2.89|0|2024-04-27 17:41:18
4643000|1.13524461|1|2024-04-27 17:41:24
4644000|0.3217881|1|2024-04-27 17:41:24
4645000|8.3745783|1|2024-04-27 17:41:24
4646000|1.28048732|1|2024-04-27 17:41:24
4647000|6.10629879|1|2024-04-27 17:41:24
4641000|1.34705295|0|2024-04-27 17:41:24
4640000|24.20435623|0|2024-04-27 17:41:24
4638000|0.43567811|0|2024-04-27 17:41:24
4637000|2.17030523|0|2024-04-27 17:41:24
4636000|0.69761277|0|2024-04-27 17:41:24
4643000|0.67531565|1|2024-04-27 17:41:31
4644000|5.53670123|1|2024-04-27 17:41:31
4645000|10.57176504|1|2024-04-27 17:41:31
4646000|1.28048732|1|2024-04-27 17:41:31
4647000|6.18229879|1|2024-04-27 17:41:31
4642000|0.04854366|0|2024-04-27 17:41:31
4641000|0.15913417|0|2024-04-27 17:41:31
4640000|0.0883217|0|2024-04-27 17:41:31
4638000|3.98026272|0|2024-04-27 17:41:31
4637000|0.87871633|0|2024-04-27 17:41:31
4644000|1.53338675|1|2024-04-27 17:41:37
4645000|10.57176504|1|2024-04-27 17:41:37
4646000|1.49572624|1|2024-04-27 17:41:37
4647000|6.10629879|1|2024-04-27 17:41:37
4648000|6.28572957|1|2024-04-27 17:41:37
4643000|1.6875251|0|2024-04-27 17:41:37
4642000|0.83101253|0|2024-04-27 17:41:37
4641000|0.84641241|0|2024-04-27 17:41:37
4640000|0.1883217|0|2024-04-27 17:41:37
4638000|2.70969218|0|2024-04-27 17:41:37
4645000|0.42631453|1|2024-04-27 17:41:43
4646000|1.65417488|1|2024-04-27 17:41:43
4647000|6.82099879|1|2024-04-27 17:41:43
4648000|5.13972957|1|2024-04-27 17:41:43
4649000|0.20785522|1|2024-04-27 17:41:43
4644000|0.15903138|0|2024-04-27 17:41:43
4643000|1.10768899|0|2024-04-27 17:41:43
4642000|1.96182779|0|2024-04-27 17:41:43
4641000|0.2|0|2024-04-27 17:41:43
4640000|1.5183217|0|2024-04-27 17:41:43
4644000|1.43005734|1|2024-04-27 17:41:49
4645000|0.29373059|1|2024-04-27 17:41:49
4646000|2.35897488|1|2024-04-27 17:41:49
4647000|6.12629879|1|2024-04-27 17:41:49
4648000|7.28111128|1|2024-04-27 17:41:49
4643000|5.71056874|0|2024-04-27 17:41:49
4642000|1.96182779|0|2024-04-27 17:41:49
4641000|0.2|0|2024-04-27 17:41:49
4640000|0.1883217|0|2024-04-27 17:41:49
4639000|1.3265|0|2024-04-27 17:41:49
4644000|1.11444635|1|2024-04-27 17:41:55
4645000|0.91789793|1|2024-04-27 17:41:55
4646000|1.65632727|1|2024-04-27 17:41:55
4647000|6.12629879|1|2024-04-27 17:41:55
4648000|5.13972957|1|2024-04-27 17:41:55
4643000|9.20602909|0|2024-04-27 17:41:55
4642000|1.86985031|0|2024-04-27 17:41:55
4641000|0.2|0|2024-04-27 17:41:55
4640000|0.1883217|0|2024-04-27 17:41:55
4638000|2.65858161|0|2024-04-27 17:41:55
4644000|0.93479568|1|2024-04-27 17:42:01
4645000|0.91485079|1|2024-04-27 17:42:01
4646000|1.65632727|1|2024-04-27 17:42:01
